publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
,The New York Times · The New York Times,Video: Opinion | Coronavirus Racism Infected My High School,https://www.nytimes.com/video/opinion/100000007028034/racism-coronavirus-asians.html,The United States; San Francisco; Maine; Italy; Indiana; Manhattan; China,tragic,systemic injustice,Asian-Americans; Chinese; Irish immigrants; Jewish; Chinatown residents,virus; Petri dish,,poverty; healthcare access; long COVID; workplace safety,absent,The article highlights societal racism and xenophobia as responsible for the discrimination faced by Asian-Americans during the pandemic.,The article does not commodify death but rather focuses on the social impact of racism exacerbated by the pandemic.
"Mar 10, 2020",The New York Times,"Coronavirus, Italy, Bernie Sanders: Your Tuesday Briefing",https://www.nytimes.com/2020/03/10/briefing/coronavirus-italy-bernie-sanders.html,China; Milan; Coronavirus; Italy; Briefing; Wuhan; Indiana,neutral,inevitable,Italian population; Chinese government,protected zone; national emergency,,elderly; healthcare access; poverty; long COVID; workplace safety,absent,"The article does not explicitly assign blame or agency for the deaths, suggesting the situation is a natural progression of the pandemic.","The article treats death as a statistic, focusing on numbers and updates rather than personal stories."
"Mar 20, 2020",The New York Times,Europe Struggles to Combat Coronavirus as Spain Passes ...,https://www.nytimes.com/2020/03/20/world/europe/coronavirus-spain.html,Europe; Europe Struggles; Italy; Spain; Indiana,tragic,inevitable,doctors,grim milestone; panic button,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests the deaths were unavoidable by focusing on overwhelmed health systems and economic measures.,"The article treats death as a statistic and a political talking point, focusing on numbers and economic measures."
"Mar 22, 2020",The New York Times,Prison Riots in Colombia Over Virus Fears Leave at Least ...,https://www.nytimes.com/2020/03/22/world/americas/colombia-prison-riot-dead.html,Louisiana; Indiana; Colombia,tragic,political failure,incarcerated people,escape; clashes,,healthcare access; prison conditions; systemic injustice; poverty,absent,The article assigns responsibility to prison authorities for not controlling the virus spread and suggests the riots were a response to inadequate measures.,The article treats death as a statistic in the context of prison riots and control.
"Mar 23, 2020",The New York Times,Lost Sense of Smell May Be Peculiar Clue to Coronavirus ...,https://www.nytimes.com/2020/03/22/health/coronavirus-symptoms-smell-taste.html,Oregon; Indiana,neutral,preventable,adults,marker of infection,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests that individuals have the agency to prevent the spread by self-isolating if they experience loss of smell.,The article does not explicitly commodify death but focuses on prevention through individual action.
"Mar 19, 2020",The New York Times,Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/03/19/us/coronavirus-today.html,Oregon; Indiana; China; United States,neutral,inevitable,elderly; young people; millennials; children; babies; preschoolers,,gravely ill; most severe cases,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article does not assign specific blame or agency, suggesting the deaths and severe cases are a natural outcome of the virus's spread.","The article treats death and severe illness as statistics and data points, focusing on age demographics and hospitalization rates."
"Mar 4, 2020",The New York Times,Italy's Elderly Suffer Heavy Toll as Coronavirus Spreads,https://www.nytimes.com/2020/03/04/world/europe/coronavirus-italy-elderly.html,Milan; Europe; Italy; Japan; Indiana,tragic,inevitable,elderly,finish line,life’s finish line was too close,poverty; healthcare access; systemic factors contributing to vulnerability,private,The article suggests the deaths are somewhat inevitable due to the age of the population and does not assign specific blame.,"The article treats death as a statistic, mentioning mortality rates and comparing them to global averages."
"Mar 30, 2020",The New York Times,"Xinjiang Returns to Work, but Coronavirus Worries Linger ...",https://www.nytimes.com/2020/03/30/world/asia/china-coronavirus-xinjiang.html,Kazakhs; Indiana; Oregon; Hong Kong; Xinjiang; China,neutral,political failure,Uighurs; Kazakhs; Muslim minorities; oil field workers; garment factory workers; students,fight,,poverty; healthcare access; elder neglect; long COVID; workplace safety,absent,"The article suggests that the Chinese government's actions, including the lockdown and the treatment of minorities in indoctrination camps, are responsible for the situation.",The article implicitly treats death as a statistic by focusing on the official numbers and the political narrative of resuming normalcy.
"Mar 29, 2020",The New York Times,Philadelphia Hospital to Stay Closed After Owner Requests ...,https://www.nytimes.com/2020/03/27/us/coronavirus-philadelphia-hahnemann-hospital.html,Philadelphia; California; Los Angeles; Indiana; Oregon; New York,neutral,political failure,city's poorest patients,crisis; frantic search,,poverty; healthcare access; systemic injustice; elderly; racial minorities; working-class; disabled; long COVID; workplace safety,absent,"The article suggests a political failure by highlighting tensions between government officials and businesses, and the lack of agreement on hospital use.","The article treats death and healthcare as a political talking point and a cost of doing business, focusing on financial aspects of hospital leasing."
"Mar 27, 2020",The New York Times,The Religious Right's Hostility to Science Is Crippling Our ...,https://www.nytimes.com/2020/03/27/opinion/coronavirus-trump-evangelicals.html,Miami; Indiana; The United States; Louisiana; Florida,tragic,political failure,religious conservatives; Christian nationalists; Republicans,reaping what that movement has sown; Cult of the Green Dragon,,elderly; racial minorities; healthcare access; poverty,absent,The article assigns responsibility to religious ultraconservatives and their denial of science.,The article treats death as a consequence of political and ideological choices.
"Mar 20, 2020",The New York Times,Coronavirus Could Overwhelm U.S. Without Urgent Action ...,https://www.nytimes.com/interactive/2020/03/20/us/coronavirus-model-us-outbreak.html,Wichita; Boston; Seattle; New York’S; Kan.; Oregon; China; California; United States; Knoxville; Illinois; The United States; Indiana; Florida; Tenn.; Sedgwick County; Beverly Salas; Chicago; Kansas City; South Korea; America; New York City; New Rochelle; New York City’S; Northeast; Italy; New York,urgent,preventable,elderly; working-class; hospitality workers; small business owners,war; sacrifice; insurance for the future,sacrifices; enormous disruptions,poverty; racism; healthcare access; long COVID,absent,The article suggests that the lack of control measures and slow pace of testing are responsible for the potential spread of COVID-19.,The article treats death as a statistic and a potential outcome of policy decisions.
"Mar 18, 2020",The New York Times,Opinion | The President Is Lying About Coronavirus,https://www.nytimes.com/2020/03/18/opinion/trump-lies-about-coronavirus.html,Oregon; The United States; Indiana; Us,indifferent,political failure,American people; medically high-risk patient,curve; ahead of the curve; behind it,passed away,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests political leadership, specifically the President, is responsible for the inadequate response and misinformation.",Death is treated as a statistic and political talking point.
"Mar 8, 2020",The New York Times,Coronavirus Hits a Nursing Home and a Retirement ...,https://www.nytimes.com/2020/03/06/us/coronavirus-washington-state.html,Oregon; King County; Indiana; Seattle,neutral,inevitable,elderly; people with underlying health problems,crisis,deep clean,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article does not assign direct responsibility, suggesting the deaths were unavoidable due to the virus's threat to older individuals.",The article treats death as a statistic and part of the broader impact on public health and business operations.
